parameter,comment,options,label
list_item,docutils list_item node A parent item potentially with children corresponding to the level of a TocTree.,docutils sphinx.environment.adapters.toctree.TocTree,docutils
only_pages,bool Only include items for full pages in the output dictionary. Exclude anchor links (TOC items with a URL that starts with #),docutils sphinx.environment.adapters.toctree.TocTree,builtin
n_samples,int or array-like of int Number of samples that should be an integer greater than 0. If an array is given it will compute a safe number of components array-wise.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
eps,float or array-like of shape (n_components) dtype=float default=0.1 Maximum distortion rate in the range (0 1) as defined by the Johnson-Lindenstrauss lemma. If an array is given it will compute a safe number of components array-wise.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
n_components,int Dimensionality of the target projection space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
n_features,int Dimensionality of the original source space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
random_state,int RandomState instance or None default=None Controls the pseudo random number generator used to generate the matrix at fit time. Pass an int for reproducible output across multiple function calls.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
n_components,int Dimensionality of the target projection space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
n_features,int Dimensionality of the original source space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
density,float or 'auto' default='auto' Ratio of non-zero component in the random projection matrix in the range `(0 1]`,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
random_state,int RandomState instance or None default=None Controls the pseudo random number generator used to generate the matrix at fit time. Pass an int for reproducible output across multiple function calls.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
n_components,int Dimensionality of the target projection space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
n_features,int Dimensionality of the original source space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
X,{ndarray sparse matrix} of shape (n_samples n_features),warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
y,Ignored Not used present here for API consistency by convention.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,builtin
X,{ndarray sparse matrix} of shape (n_samples n_features) The input data to project into a smaller dimensional space.,warnings abc.ABCMeta abc.abstractmethod numbers.Integral numbers.Real numpy scipy.linalg scipy.sparse base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params utils.extmath.safe_sparse_dot utils.random.sample_without_replacement utils.validation.check_array utils.validation.check_is_fitted exceptions.DataDimensionalityWarning,numpy
estimator,{list tuple set} of estimator instance or a single estimator instance The estimator or group of estimators to be cloned.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,local
safe,bool default=True If safe is False clone will fall back to a deep copy on objects that are not estimators. Ignored if `estimator.__sklearn_clone__` exists.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
deep,bool default=True If True will return the parameters for this estimator and contained subobjects that are estimators.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
**params,dict Estimator parameters.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
X,{ndarray sparse matrix} of shape (n_samples n_features) The input samples.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
reset,bool If True the `n_features_in_` attribute is set to `X.shape[1]`. If False and the attribute exists then check that it is equal to `X.shape[1]`. If False and the attribute does *not* exist then the check is skipped.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
